journal-name,assertion,author,content-domain,funder,issue,issued,license,number-of-authors,page,published-online,published-print,publisher,referenced,references-count,short-journal-name,subject,title,type,volume,Rank,Sourceid,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2016),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Publisher,Coverage,Categories,Unnamed: 19,Unnamed: 20,Aerospace Engineering,Agricultural and Biological Sciences (miscellaneous),Agronomy and Crop Science,Animal Science and Zoology,Anthropology,Applied Mathematics,Applied Psychology,Aquatic Science,Archeology,Archeology (arts and humanities),Artificial Intelligence,Arts and Humanities (miscellaneous),"Atomic and Molecular Physics, and Optics",Automotive Engineering,Biochemistry,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Biomedical Engineering,Biotechnology,Building and Construction,Business and International Management,"Business, Management and Accounting (miscellaneous)",Cancer Research,Cardiology and Cardiovascular Medicine,Cell Biology,Chemical Engineering (miscellaneous),Chemistry (miscellaneous),Civil and Structural Engineering,Clinical Psychology,Communication,Computational Theory and Mathematics,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Science (miscellaneous),Computer Science Applications,Computer Vision and Pattern Recognition,Condensed Matter Physics,Control and Optimization,Control and Systems Engineering,Cultural Studies,Development,Developmental and Educational Psychology,Earth and Planetary Sciences (miscellaneous),Ecology,"Ecology, Evolution, Behavior and Systematics",Economics and Econometrics,"Economics, Econometrics and Finance (miscellaneous)",Education,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials","Endocrinology, Diabetes and Metabolism",Energy Engineering and Power Technology,Engineering (miscellaneous),Environmental Engineering,Environmental Science (miscellaneous),Finance,Food Science,Fuel Technology,Genetics,Geochemistry and Petrology,"Geography, Planning and Development",Geology,Geotechnical Engineering and Engineering Geology,Hardware and Architecture,Health (social science),Health Policy,History,Human-Computer Interaction,Immunology,Industrial and Manufacturing Engineering,Infectious Diseases,Information Systems,Information Systems and Management,Instrumentation,Language and Linguistics,Law,Library and Information Sciences,Linguistics and Language,Literature and Literary Theory,Management of Technology and Innovation,"Management, Monitoring, Policy and Law",Materials Chemistry,Materials Science (miscellaneous),Mathematics (miscellaneous),Mechanical Engineering,Mechanics of Materials,Media Technology,Medicine (miscellaneous),Modeling and Simulation,Molecular Biology,Neurology (clinical),Oncology,Organizational Behavior and Human Resource Management,Orthopedics and Sports Medicine,Pathology and Forensic Medicine,"Pediatrics, Perinatology and Child Health",Pharmaceutical Science,Pharmacology,Pharmacology (medical),Philosophy,Physics and Astronomy (miscellaneous),Plant Science,Political Science and International Relations,Polymers and Plastics,Psychiatry and Mental Health,Psychology (miscellaneous),"Public Health, Environmental and Occupational Health","Radiology, Nuclear Medicine and Imaging",Religious Studies,"Renewable Energy, Sustainability and the Environment","Safety, Risk, Reliability and Quality",Signal Processing,Social Psychology,Social Sciences (miscellaneous),Sociology and Political Science,Software,Statistics and Probability,Strategy and Management,Surgery,Visual Arts and Performing Arts,Water Science and Technology
(co-)constructing interpersonally sensitive activities across institutional settings,0,6,6,0,6,6,0,6,6,6,6,6,6,6,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abcd arquivos brasileiros de cirurgia digestiva (são paulo),0,47,47,0,47,47,0,47,47,0,47,47,47,47,47,0,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abi technik,0,9,9,0,9,9,0,9,0,0,9,9,9,9,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accounting economics & law - a convivium,0,4,4,0,4,4,0,4,4,0,4,4,4,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accounting economics & law a convivium,0,8,8,0,8,8,0,8,5,0,8,8,8,8,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acta biologica cracoviensia s botanica,0,13,13,0,13,13,13,13,13,0,13,13,13,13,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acta chemica iasi,0,7,7,0,7,7,7,7,7,0,7,7,7,7,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acta chimica slovaca,0,26,26,0,26,26,26,26,26,0,26,26,26,26,0,0,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acta chirurgica latviensis,0,7,7,0,7,7,7,7,7,0,7,7,7,7,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acta economica et turistica,0,11,11,0,11,11,11,11,11,0,11,11,11,11,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
